Date,Region,Province,Country,Total_Confirmed,Total_Deaths,Total_Recovered,Total_Active
03-22-2020,Cumberland,Kentucky,US,0,0,0,0
03-22-2020,Edmonson,Kentucky,US,0,0,0,0
03-22-2020,Elliott,Kentucky,US,0,0,0,0
03-22-2020,Estill,Kentucky,US,0,0,0,0
03-22-2020,Fleming,Kentucky,US,0,0,0,0
03-22-2020,Floyd,Kentucky,US,0,0,0,0
03-22-2020,Fulton,Kentucky,US,0,0,0,0
03-22-2020,Gallatin,Kentucky,US,0,0,0,0
03-22-2020,Garrard,Kentucky,US,0,0,0,0
03-22-2020,Grant,Kentucky,US,0,0,0,0
03-22-2020,Graves,Kentucky,US,0,0,0,0
03-22-2020,Grayson,Kentucky,US,0,0,0,0
03-22-2020,Green,Kentucky,US,0,0,0,0
03-22-2020,Greenup,Kentucky,US,0,0,0,0
03-22-2020,Hancock,Kentucky,US,0,0,0,0
03-22-2020,Harlan,Kentucky,US,0,0,0,0
03-22-2020,Hart,Kentucky,US,0,0,0,0
03-22-2020,Henry,Kentucky,US,0,0,0,0
03-22-2020,Hickman,Kentucky,US,0,0,0,0
03-22-2020,Hopkins,Kentucky,US,0,0,0,0
03-22-2020,Jackson,Kentucky,US,0,0,0,0
03-22-2020,Jessamine,Kentucky,US,0,0,0,0
03-22-2020,Johnson,Kentucky,US,0,0,0,0
03-22-2020,Knott,Kentucky,US,0,0,0,0
03-22-2020,Knox,Kentucky,US,0,0,0,0
03-22-2020,Larue,Kentucky,US,0,0,0,0
03-22-2020,Laurel,Kentucky,US,0,0,0,0
03-22-2020,Lawrence,Kentucky,US,0,0,0,0
03-22-2020,Lee,Kentucky,US,0,0,0,0
03-22-2020,Leslie,Kentucky,US,0,0,0,0
03-22-2020,Letcher,Kentucky,US,0,0,0,0
03-22-2020,Lewis,Kentucky,US,0,0,0,0
03-22-2020,Lincoln,Kentucky,US,0,0,0,0
03-22-2020,Livingston,Kentucky,US,0,0,0,0
03-22-2020,Logan,Kentucky,US,0,0,0,0
03-22-2020,Madison,Kentucky,US,0,0,0,0
03-22-2020,Magoffin,Kentucky,US,0,0,0,0
03-22-2020,Marion,Kentucky,US,0,0,0,0
03-22-2020,Marshall,Kentucky,US,0,0,0,0
03-22-2020,Martin,Kentucky,US,0,0,0,0
03-22-2020,Mason,Kentucky,US,0,0,0,0
03-22-2020,McCracken,Kentucky,US,0,0,0,0
03-22-2020,McCreary,Kentucky,US,0,0,0,0
03-22-2020,McLean,Kentucky,US,0,0,0,0
03-22-2020,Meade,Kentucky,US,0,0,0,0
03-22-2020,Menifee,Kentucky,US,0,0,0,0
03-22-2020,Mercer,Kentucky,US,0,0,0,0
03-22-2020,Metcalfe,Kentucky,US,0,0,0,0
03-22-2020,Monroe,Kentucky,US,0,0,0,0
03-22-2020,Morgan,Kentucky,US,0,0,0,0
03-22-2020,Muhlenberg,Kentucky,US,0,0,0,0
03-22-2020,Nicholas,Kentucky,US,0,0,0,0
03-22-2020,Ohio,Kentucky,US,0,0,0,0
03-22-2020,Owen,Kentucky,US,0,0,0,0
03-22-2020,Owsley,Kentucky,US,0,0,0,0
03-22-2020,Pendleton,Kentucky,US,0,0,0,0
03-22-2020,Perry,Kentucky,US,0,0,0,0
03-22-2020,Pike,Kentucky,US,0,0,0,0
03-22-2020,Powell,Kentucky,US,0,0,0,0
03-22-2020,Robertson,Kentucky,US,0,0,0,0
03-22-2020,Rockcastle,Kentucky,US,0,0,0,0
03-22-2020,Rowan,Kentucky,US,0,0,0,0
03-22-2020,Russell,Kentucky,US,0,0,0,0
03-22-2020,Scott,Kentucky,US,0,0,0,0
03-22-2020,Shelby,Kentucky,US,0,0,0,0
03-22-2020,Simpson,Kentucky,US,0,0,0,0
03-22-2020,Spencer,Kentucky,US,0,0,0,0
03-22-2020,Taylor,Kentucky,US,0,0,0,0
03-22-2020,Todd,Kentucky,US,0,0,0,0
03-22-2020,Trigg,Kentucky,US,0,0,0,0
03-22-2020,Trimble,Kentucky,US,0,0,0,0
03-22-2020,Union,Kentucky,US,0,0,0,0
03-22-2020,Washington,Kentucky,US,0,0,0,0
03-22-2020,Wayne,Kentucky,US,0,0,0,0
03-22-2020,Webster,Kentucky,US,0,0,0,0
03-22-2020,Whitley,Kentucky,US,0,0,0,0
03-22-2020,Wolfe,Kentucky,US,0,0,0,0
03-22-2020,Woodford,Kentucky,US,0,0,0,0
03-22-2020,Allen,Louisiana,US,0,0,0,0
03-22-2020,Caldwell,Louisiana,US,0,0,0,0
03-22-2020,Cameron,Louisiana,US,0,0,0,0
03-22-2020,Concordia,Louisiana,US,0,0,0,0
03-22-2020,East Carroll,Louisiana,US,0,0,0,0
03-22-2020,East Feliciana,Louisiana,US,0,0,0,0
03-22-2020,Franklin,Louisiana,US,0,0,0,0
03-22-2020,Grant,Louisiana,US,0,0,0,0
03-22-2020,Jackson,Louisiana,US,0,0,0,0
03-22-2020,Jefferson Davis,Louisiana,US,0,0,0,0
03-22-2020,LaSalle,Louisiana,US,0,0,0,0
03-22-2020,Lincoln,Louisiana,US,0,0,0,0
03-22-2020,Madison,Louisiana,US,0,0,0,0
03-22-2020,Morehouse,Louisiana,US,0,0,0,0
03-22-2020,Natchitoches,Louisiana,US,0,0,0,0
03-22-2020,Pointe Coupee,Louisiana,US,0,0,0,0
03-22-2020,Red River,Louisiana,US,0,0,0,0
03-22-2020,Richland,Louisiana,US,0,0,0,0
03-22-2020,Sabine,Louisiana,US,0,0,0,0
03-22-2020,St. Helena,Louisiana,US,0,0,0,0
03-22-2020,St. Martin,Louisiana,US,0,0,0,0
03-22-2020,Tensas,Louisiana,US,0,0,0,0
03-22-2020,Union,Louisiana,US,0,0,0,0
03-22-2020,Vermilion,Louisiana,US,0,0,0,0
03-22-2020,Vernon,Louisiana,US,0,0,0,0
03-22-2020,West Carroll,Louisiana,US,0,0,0,0
03-22-2020,West Feliciana,Louisiana,US,0,0,0,0
03-22-2020,Winn,Louisiana,US,0,0,0,0
03-22-2020,Aroostook,Maine,US,0,0,0,0
03-22-2020,Franklin,Maine,US,0,0,0,0
03-22-2020,Hancock,Maine,US,0,0,0,0
03-22-2020,Knox,Maine,US,0,0,0,0
03-22-2020,Piscataquis,Maine,US,0,0,0,0
03-22-2020,Somerset,Maine,US,0,0,0,0
03-22-2020,Waldo,Maine,US,0,0,0,0
03-22-2020,Washington,Maine,US,0,0,0,0
03-22-2020,Allegany,Maryland,US,0,0,0,0
03-22-2020,Cecil,Maryland,US,0,0,0,0
03-22-2020,Dorchester,Maryland,US,0,0,0,0
03-22-2020,Garrett,Maryland,US,0,0,0,0
03-22-2020,Kent,Maryland,US,0,0,0,0
03-22-2020,Dukes,Massachusetts,US,0,0,0,0
03-22-2020,Nantucket,Massachusetts,US,0,0,0,0
03-22-2020,Alcona,Michigan,US,0,0,0,0
03-22-2020,Alger,Michigan,US,0,0,0,0
03-22-2020,Alpena,Michigan,US,0,0,0,0
03-22-2020,Antrim,Michigan,US,0,0,0,0
03-22-2020,Arenac,Michigan,US,0,0,0,0
03-22-2020,Baraga,Michigan,US,0,0,0,0
03-22-2020,Benzie,Michigan,US,0,0,0,0
03-22-2020,Branch,Michigan,US,0,0,0,0
03-22-2020,Cass,Michigan,US,0,0,0,0
03-22-2020,Cheboygan,Michigan,US,0,0,0,0
03-22-2020,Chippewa,Michigan,US,0,0,0,0
03-22-2020,Crawford,Michigan,US,0,0,0,0
03-22-2020,Delta,Michigan,US,0,0,0,0
03-22-2020,Dickinson,Michigan,US,0,0,0,0
03-22-2020,Gogebic,Michigan,US,0,0,0,0
03-22-2020,Gratiot,Michigan,US,0,0,0,0
03-22-2020,Hillsdale,Michigan,US,0,0,0,0
03-22-2020,Houghton,Michigan,US,0,0,0,0
03-22-2020,Huron,Michigan,US,0,0,0,0
03-22-2020,Ionia,Michigan,US,0,0,0,0
03-22-2020,Iosco,Michigan,US,0,0,0,0
03-22-2020,Iron,Michigan,US,0,0,0,0
03-22-2020,Isabella,Michigan,US,0,0,0,0
03-22-2020,Kalamazoo,Michigan,US,0,0,0,0
03-22-2020,Kalkaska,Michigan,US,0,0,0,0
03-22-2020,Keweenaw,Michigan,US,0,0,0,0
03-22-2020,Lake,Michigan,US,0,0,0,0
03-22-2020,Lapeer,Michigan,US,0,0,0,0
03-22-2020,Lenawee,Michigan,US,0,0,0,0
03-22-2020,Luce,Michigan,US,0,0,0,0
03-22-2020,Mackinac,Michigan,US,0,0,0,0
03-22-2020,Manistee,Michigan,US,0,0,0,0
03-22-2020,Marquette,Michigan,US,0,0,0,0
03-22-2020,Mason,Michigan,US,0,0,0,0
03-22-2020,Mecosta,Michigan,US,0,0,0,0
03-22-2020,Menominee,Michigan,US,0,0,0,0
03-22-2020,Missaukee,Michigan,US,0,0,0,0
03-22-2020,Montmorency,Michigan,US,0,0,0,0
03-22-2020,Muskegon,Michigan,US,0,0,0,0
03-22-2020,Newaygo,Michigan,US,0,0,0,0
03-22-2020,Oceana,Michigan,US,0,0,0,0
03-22-2020,Ogemaw,Michigan,US,0,0,0,0
03-22-2020,Ontonagon,Michigan,US,0,0,0,0
03-22-2020,Osceola,Michigan,US,0,0,0,0
03-22-2020,Oscoda,Michigan,US,0,0,0,0
03-22-2020,Presque Isle,Michigan,US,0,0,0,0
03-22-2020,Sanilac,Michigan,US,0,0,0,0
03-22-2020,Schoolcraft,Michigan,US,0,0,0,0
03-22-2020,Shiawassee,Michigan,US,0,0,0,0
03-22-2020,St. Joseph,Michigan,US,0,0,0,0
03-22-2020,Van Buren,Michigan,US,0,0,0,0
03-22-2020,Aitkin,Minnesota,US,0,0,0,0
03-22-2020,Becker,Minnesota,US,0,0,0,0
03-22-2020,Beltrami,Minnesota,US,0,0,0,0
03-22-2020,Big Stone,Minnesota,US,0,0,0,0
03-22-2020,Brown,Minnesota,US,0,0,0,0
03-22-2020,Carlton,Minnesota,US,0,0,0,0
03-22-2020,Chippewa,Minnesota,US,0,0,0,0
03-22-2020,Clearwater,Minnesota,US,0,0,0,0
03-22-2020,Cook,Minnesota,US,0,0,0,0
03-22-2020,Cottonwood,Minnesota,US,0,0,0,0
03-22-2020,Crow Wing,Minnesota,US,0,0,0,0
03-22-2020,Douglas,Minnesota,US,0,0,0,0
03-22-2020,Faribault,Minnesota,US,0,0,0,0
03-22-2020,Fillmore,Minnesota,US,0,0,0,0
03-22-2020,Freeborn,Minnesota,US,0,0,0,0
03-22-2020,Goodhue,Minnesota,US,0,0,0,0
03-22-2020,Grant,Minnesota,US,0,0,0,0
03-22-2020,Houston,Minnesota,US,0,0,0,0
03-22-2020,Hubbard,Minnesota,US,0,0,0,0
03-22-2020,Isanti,Minnesota,US,0,0,0,0
03-22-2020,Itasca,Minnesota,US,0,0,0,0
03-22-2020,Kanabec,Minnesota,US,0,0,0,0
03-22-2020,Kandiyohi,Minnesota,US,0,0,0,0
03-22-2020,Kittson,Minnesota,US,0,0,0,0
03-22-2020,Koochiching,Minnesota,US,0,0,0,0
03-22-2020,Lac qui Parle,Minnesota,US,0,0,0,0
03-22-2020,Lake,Minnesota,US,0,0,0,0
03-22-2020,Lake of the Woods,Minnesota,US,0,0,0,0
03-22-2020,Le Sueur,Minnesota,US,0,0,0,0
03-22-2020,Lincoln,Minnesota,US,0,0,0,0
03-22-2020,Lyon,Minnesota,US,0,0,0,0
03-22-2020,Mahnomen,Minnesota,US,0,0,0,0
03-22-2020,Marshall,Minnesota,US,0,0,0,0
03-22-2020,McLeod,Minnesota,US,0,0,0,0
03-22-2020,Meeker,Minnesota,US,0,0,0,0
03-22-2020,Mille Lacs,Minnesota,US,0,0,0,0
03-22-2020,Morrison,Minnesota,US,0,0,0,0
03-22-2020,Murray,Minnesota,US,0,0,0,0
03-22-2020,Nobles,Minnesota,US,0,0,0,0
03-22-2020,Norman,Minnesota,US,0,0,0,0
03-22-2020,Otter Tail,Minnesota,US,0,0,0,0
03-22-2020,Pennington,Minnesota,US,0,0,0,0
03-22-2020,Pine,Minnesota,US,0,0,0,0
03-22-2020,Pipestone,Minnesota,US,0,0,0,0
03-22-2020,Polk,Minnesota,US,0,0,0,0
03-22-2020,Pope,Minnesota,US,0,0,0,0
03-22-2020,Red Lake,Minnesota,US,0,0,0,0
03-22-2020,Redwood,Minnesota,US,0,0,0,0
03-22-2020,Rock,Minnesota,US,0,0,0,0
03-22-2020,Roseau,Minnesota,US,0,0,0,0
03-22-2020,Sherburne,Minnesota,US,0,0,0,0
03-22-2020,Sibley,Minnesota,US,0,0,0,0
03-22-2020,Stevens,Minnesota,US,0,0,0,0
03-22-2020,Swift,Minnesota,US,0,0,0,0
03-22-2020,Todd,Minnesota,US,0,0,0,0
03-22-2020,Traverse,Minnesota,US,0,0,0,0
03-22-2020,Wadena,Minnesota,US,0,0,0,0
03-22-2020,Watonwan,Minnesota,US,0,0,0,0
03-22-2020,Wilkin,Minnesota,US,0,0,0,0
03-22-2020,Winona,Minnesota,US,0,0,0,0
03-22-2020,Yellow Medicine,Minnesota,US,0,0,0,0
03-22-2020,Alcorn,Mississippi,US,0,0,0,0
03-22-2020,Amite,Mississippi,US,0,0,0,0
03-22-2020,Benton,Mississippi,US,0,0,0,0
03-22-2020,Calhoun,Mississippi,US,0,0,0,0
03-22-2020,Carroll,Mississippi,US,0,0,0,0
03-22-2020,Choctaw,Mississippi,US,0,0,0,0
03-22-2020,Claiborne,Mississippi,US,0,0,0,0
03-22-2020,Clarke,Mississippi,US,0,0,0,0
03-22-2020,Covington,Mississippi,US,0,0,0,0
03-22-2020,Greene,Mississippi,US,0,0,0,0
03-22-2020,Issaquena,Mississippi,US,0,0,0,0
03-22-2020,Jasper,Mississippi,US,0,0,0,0
03-22-2020,Jefferson,Mississippi,US,0,0,0,0
03-22-2020,Jefferson Davis,Mississippi,US,0,0,0,0
03-22-2020,Kemper,Mississippi,US,0,0,0,0
03-22-2020,Lamar,Mississippi,US,0,0,0,0
03-22-2020,Lauderdale,Mississippi,US,0,0,0,0
03-22-2020,Marion,Mississippi,US,0,0,0,0
03-22-2020,Neshoba,Mississippi,US,0,0,0,0
03-22-2020,Newton,Mississippi,US,0,0,0,0
03-22-2020,Noxubee,Mississippi,US,0,0,0,0
03-22-2020,Prentiss,Mississippi,US,0,0,0,0
03-22-2020,Quitman,Mississippi,US,0,0,0,0
03-22-2020,Sharkey,Mississippi,US,0,0,0,0
03-22-2020,Stone,Mississippi,US,0,0,0,0
03-22-2020,Tallahatchie,Mississippi,US,0,0,0,0
03-22-2020,Tishomingo,Mississippi,US,0,0,0,0
03-22-2020,Warren,Mississippi,US,0,0,0,0
03-22-2020,Wayne,Mississippi,US,0,0,0,0
03-22-2020,Yalobusha,Mississippi,US,0,0,0,0
03-22-2020,Andrew,Missouri,US,0,0,0,0
03-22-2020,Atchison,Missouri,US,0,0,0,0
03-22-2020,Audrain,Missouri,US,0,0,0,0
03-22-2020,Barry,Missouri,US,0,0,0,0
03-22-2020,Barton,Missouri,US,0,0,0,0
03-22-2020,Benton,Missouri,US,0,0,0,0
03-22-2020,Bollinger,Missouri,US,0,0,0,0
03-22-2020,Buchanan,Missouri,US,0,0,0,0
03-22-2020,Butler,Missouri,US,0,0,0,0
03-22-2020,Caldwell,Missouri,US,0,0,0,0
03-22-2020,Callaway,Missouri,US,0,0,0,0
03-22-2020,Camden,Missouri,US,0,0,0,0
03-22-2020,Cape Girardeau,Missouri,US,0,0,0,0
03-22-2020,Carroll,Missouri,US,0,0,0,0
03-22-2020,Carter,Missouri,US,0,0,0,0
03-22-2020,Cedar,Missouri,US,0,0,0,0
03-22-2020,Chariton,Missouri,US,0,0,0,0
03-22-2020,Clark,Missouri,US,0,0,0,0
03-22-2020,Clay,Missouri,US,0,0,0,0
03-22-2020,Clinton,Missouri,US,0,0,0,0
03-22-2020,Cooper,Missouri,US,0,0,0,0
03-22-2020,Crawford,Missouri,US,0,0,0,0
03-22-2020,Dade,Missouri,US,0,0,0,0
03-22-2020,Dallas,Missouri,US,0,0,0,0
03-22-2020,Daviess,Missouri,US,0,0,0,0
03-22-2020,DeKalb,Missouri,US,0,0,0,0
03-22-2020,Dent,Missouri,US,0,0,0,0
03-22-2020,Douglas,Missouri,US,0,0,0,0
03-22-2020,Franklin,Missouri,US,0,0,0,0
03-22-2020,Gasconade,Missouri,US,0,0,0,0
03-22-2020,Gentry,Missouri,US,0,0,0,0
03-22-2020,Grundy,Missouri,US,0,0,0,0
03-22-2020,Harrison,Missouri,US,0,0,0,0
03-22-2020,Hickory,Missouri,US,0,0,0,0
03-22-2020,Holt,Missouri,US,0,0,0,0
03-22-2020,Howard,Missouri,US,0,0,0,0
03-22-2020,Howell,Missouri,US,0,0,0,0
03-22-2020,Iron,Missouri,US,0,0,0,0
03-22-2020,Jefferson,Missouri,US,0,0,0,0
03-22-2020,Knox,Missouri,US,0,0,0,0
03-22-2020,Laclede,Missouri,US,0,0,0,0
03-22-2020,Lafayette,Missouri,US,0,0,0,0
03-22-2020,Lawrence,Missouri,US,0,0,0,0
03-22-2020,Lewis,Missouri,US,0,0,0,0
03-22-2020,Lincoln,Missouri,US,0,0,0,0
03-22-2020,Linn,Missouri,US,0,0,0,0
03-22-2020,Livingston,Missouri,US,0,0,0,0
03-22-2020,Macon,Missouri,US,0,0,0,0
03-22-2020,Madison,Missouri,US,0,0,0,0
03-22-2020,Maries,Missouri,US,0,0,0,0
03-22-2020,Marion,Missouri,US,0,0,0,0
03-22-2020,McDonald,Missouri,US,0,0,0,0
03-22-2020,Mercer,Missouri,US,0,0,0,0
03-22-2020,Miller,Missouri,US,0,0,0,0
03-22-2020,Mississippi,Missouri,US,0,0,0,0
03-22-2020,Moniteau,Missouri,US,0,0,0,0
03-22-2020,Monroe,Missouri,US,0,0,0,0
03-22-2020,Montgomery,Missouri,US,0,0,0,0
03-22-2020,Morgan,Missouri,US,0,0,0,0
03-22-2020,New Madrid,Missouri,US,0,0,0,0
03-22-2020,Newton,Missouri,US,0,0,0,0
03-22-2020,Nodaway,Missouri,US,0,0,0,0
03-22-2020,Oregon,Missouri,US,0,0,0,0
03-22-2020,Osage,Missouri,US,0,0,0,0
03-22-2020,Ozark,Missouri,US,0,0,0,0
03-22-2020,Pemiscot,Missouri,US,0,0,0,0
03-22-2020,Perry,Missouri,US,0,0,0,0
03-22-2020,Pettis,Missouri,US,0,0,0,0
03-22-2020,Phelps,Missouri,US,0,0,0,0
03-22-2020,Pike,Missouri,US,0,0,0,0
03-22-2020,Platte,Missouri,US,0,0,0,0
03-22-2020,Polk,Missouri,US,0,0,0,0
03-22-2020,Putnam,Missouri,US,0,0,0,0
03-22-2020,Ralls,Missouri,US,0,0,0,0
03-22-2020,Randolph,Missouri,US,0,0,0,0
03-22-2020,Ray,Missouri,US,0,0,0,0
03-22-2020,Reynolds,Missouri,US,0,0,0,0
03-22-2020,Ripley,Missouri,US,0,0,0,0
03-22-2020,Saline,Missouri,US,0,0,0,0
03-22-2020,Schuyler,Missouri,US,0,0,0,0
03-22-2020,Scotland,Missouri,US,0,0,0,0
03-22-2020,Shannon,Missouri,US,0,0,0,0
03-22-2020,Shelby,Missouri,US,0,0,0,0
03-22-2020,St. Clair,Missouri,US,0,0,0,0
03-22-2020,St. Francois,Missouri,US,0,0,0,0
03-22-2020,Ste. Genevieve,Missouri,US,0,0,0,0
03-22-2020,Stoddard,Missouri,US,0,0,0,0
03-22-2020,Stone,Missouri,US,0,0,0,0
03-22-2020,Sullivan,Missouri,US,0,0,0,0
03-22-2020,Taney,Missouri,US,0,0,0,0
03-22-2020,Texas,Missouri,US,0,0,0,0
03-22-2020,Vernon,Missouri,US,0,0,0,0
03-22-2020,Warren,Missouri,US,0,0,0,0
03-22-2020,Washington,Missouri,US,0,0,0,0
03-22-2020,Wayne,Missouri,US,0,0,0,0
03-22-2020,Webster,Missouri,US,0,0,0,0
03-22-2020,Worth,Missouri,US,0,0,0,0
03-22-2020,Wright,Missouri,US,0,0,0,0
03-22-2020,Beaverhead,Montana,US,0,0,0,0
03-22-2020,Big Horn,Montana,US,0,0,0,0
03-22-2020,Blaine,Montana,US,0,0,0,0
03-22-2020,Carbon,Montana,US,0,0,0,0
03-22-2020,Carter,Montana,US,0,0,0,0
03-22-2020,Chouteau,Montana,US,0,0,0,0
03-22-2020,Custer,Montana,US,0,0,0,0
03-22-2020,Daniels,Montana,US,0,0,0,0
03-22-2020,Dawson,Montana,US,0,0,0,0
03-22-2020,Deer Lodge,Montana,US,0,0,0,0
03-22-2020,Fallon,Montana,US,0,0,0,0
03-22-2020,Fergus,Montana,US,0,0,0,0
03-22-2020,Garfield,Montana,US,0,0,0,0
03-22-2020,Glacier,Montana,US,0,0,0,0
03-22-2020,Golden Valley,Montana,US,0,0,0,0
03-22-2020,Granite,Montana,US,0,0,0,0
03-22-2020,Hill,Montana,US,0,0,0,0
03-22-2020,Jefferson,Montana,US,0,0,0,0
03-22-2020,Judith Basin,Montana,US,0,0,0,0
03-22-2020,Lake,Montana,US,0,0,0,0
03-22-2020,Liberty,Montana,US,0,0,0,0
03-22-2020,Lincoln,Montana,US,0,0,0,0
03-22-2020,McCone,Montana,US,0,0,0,0
03-22-2020,Meagher,Montana,US,0,0,0,0
03-22-2020,Mineral,Montana,US,0,0,0,0
03-22-2020,Musselshell,Montana,US,0,0,0,0
03-22-2020,Park,Montana,US,0,0,0,0
03-22-2020,Petroleum,Montana,US,0,0,0,0
03-22-2020,Phillips,Montana,US,0,0,0,0
03-22-2020,Pondera,Montana,US,0,0,0,0
03-22-2020,Powder River,Montana,US,0,0,0,0
03-22-2020,Powell,Montana,US,0,0,0,0
03-22-2020,Prairie,Montana,US,0,0,0,0
03-22-2020,Richland,Montana,US,0,0,0,0
03-22-2020,Rosebud,Montana,US,0,0,0,0
03-22-2020,Sanders,Montana,US,0,0,0,0
03-22-2020,Sheridan,Montana,US,0,0,0,0
03-22-2020,Stillwater,Montana,US,0,0,0,0
03-22-2020,Sweet Grass,Montana,US,0,0,0,0
03-22-2020,Teton,Montana,US,0,0,0,0
03-22-2020,Toole,Montana,US,0,0,0,0
03-22-2020,Treasure,Montana,US,0,0,0,0
03-22-2020,Valley,Montana,US,0,0,0,0
03-22-2020,Wheatland,Montana,US,0,0,0,0
03-22-2020,Wibaux,Montana,US,0,0,0,0
03-22-2020,Antelope,Nebraska,US,0,0,0,0
03-22-2020,Arthur,Nebraska,US,0,0,0,0
03-22-2020,Banner,Nebraska,US,0,0,0,0
03-22-2020,Blaine,Nebraska,US,0,0,0,0
03-22-2020,Boone,Nebraska,US,0,0,0,0
03-22-2020,Box Butte,Nebraska,US,0,0,0,0
03-22-2020,Boyd,Nebraska,US,0,0,0,0
03-22-2020,Brown,Nebraska,US,0,0,0,0
03-22-2020,Burt,Nebraska,US,0,0,0,0
03-22-2020,Butler,Nebraska,US,0,0,0,0
03-22-2020,Cedar,Nebraska,US,0,0,0,0
03-22-2020,Chase,Nebraska,US,0,0,0,0
03-22-2020,Cherry,Nebraska,US,0,0,0,0
03-22-2020,Cheyenne,Nebraska,US,0,0,0,0
03-22-2020,Clay,Nebraska,US,0,0,0,0
03-22-2020,Colfax,Nebraska,US,0,0,0,0
03-22-2020,Cuming,Nebraska,US,0,0,0,0
03-22-2020,Custer,Nebraska,US,0,0,0,0
03-22-2020,Dakota,Nebraska,US,0,0,0,0
03-22-2020,Dawes,Nebraska,US,0,0,0,0
03-22-2020,Dawson,Nebraska,US,0,0,0,0
03-22-2020,Deuel,Nebraska,US,0,0,0,0
03-22-2020,Dixon,Nebraska,US,0,0,0,0
03-22-2020,Dodge,Nebraska,US,0,0,0,0
03-22-2020,Dundy,Nebraska,US,0,0,0,0
03-22-2020,Fillmore,Nebraska,US,0,0,0,0
03-22-2020,Franklin,Nebraska,US,0,0,0,0
03-22-2020,Frontier,Nebraska,US,0,0,0,0
03-22-2020,Furnas,Nebraska,US,0,0,0,0
03-22-2020,Gage,Nebraska,US,0,0,0,0
03-22-2020,Garden,Nebraska,US,0,0,0,0
03-22-2020,Garfield,Nebraska,US,0,0,0,0
03-22-2020,Gosper,Nebraska,US,0,0,0,0
03-22-2020,Grant,Nebraska,US,0,0,0,0
03-22-2020,Greeley,Nebraska,US,0,0,0,0
03-22-2020,Hall,Nebraska,US,0,0,0,0
03-22-2020,Hamilton,Nebraska,US,0,0,0,0
03-22-2020,Harlan,Nebraska,US,0,0,0,0
03-22-2020,Hayes,Nebraska,US,0,0,0,0
03-22-2020,Hitchcock,Nebraska,US,0,0,0,0
03-22-2020,Holt,Nebraska,US,0,0,0,0
03-22-2020,Hooker,Nebraska,US,0,0,0,0
03-22-2020,Howard,Nebraska,US,0,0,0,0
03-22-2020,Jefferson,Nebraska,US,0,0,0,0
03-22-2020,Johnson,Nebraska,US,0,0,0,0
03-22-2020,Kearney,Nebraska,US,0,0,0,0
03-22-2020,Keith,Nebraska,US,0,0,0,0
03-22-2020,Keya Paha,Nebraska,US,0,0,0,0
03-22-2020,Kimball,Nebraska,US,0,0,0,0
03-22-2020,Logan,Nebraska,US,0,0,0,0
03-22-2020,Loup,Nebraska,US,0,0,0,0
03-22-2020,Madison,Nebraska,US,0,0,0,0
03-22-2020,McPherson,Nebraska,US,0,0,0,0
03-22-2020,Merrick,Nebraska,US,0,0,0,0
03-22-2020,Morrill,Nebraska,US,0,0,0,0
03-22-2020,Nance,Nebraska,US,0,0,0,0
03-22-2020,Nuckolls,Nebraska,US,0,0,0,0
03-22-2020,Otoe,Nebraska,US,0,0,0,0
03-22-2020,Pawnee,Nebraska,US,0,0,0,0
03-22-2020,Perkins,Nebraska,US,0,0,0,0
03-22-2020,Phelps,Nebraska,US,0,0,0,0
03-22-2020,Pierce,Nebraska,US,0,0,0,0
03-22-2020,Platte,Nebraska,US,0,0,0,0
03-22-2020,Polk,Nebraska,US,0,0,0,0
03-22-2020,Red Willow,Nebraska,US,0,0,0,0
03-22-2020,Richardson,Nebraska,US,0,0,0,0
03-22-2020,Rock,Nebraska,US,0,0,0,0
03-22-2020,Saline,Nebraska,US,0,0,0,0
03-22-2020,Saunders,Nebraska,US,0,0,0,0
03-22-2020,Scotts Bluff,Nebraska,US,0,0,0,0
03-22-2020,Seward,Nebraska,US,0,0,0,0
03-22-2020,Sheridan,Nebraska,US,0,0,0,0
03-22-2020,Sherman,Nebraska,US,0,0,0,0
03-22-2020,Sioux,Nebraska,US,0,0,0,0
03-22-2020,Stanton,Nebraska,US,0,0,0,0
03-22-2020,Thayer,Nebraska,US,0,0,0,0
03-22-2020,Thomas,Nebraska,US,0,0,0,0
03-22-2020,Thurston,Nebraska,US,0,0,0,0
03-22-2020,Valley,Nebraska,US,0,0,0,0
03-22-2020,Washington,Nebraska,US,0,0,0,0
03-22-2020,Wayne,Nebraska,US,0,0,0,0
03-22-2020,Webster,Nebraska,US,0,0,0,0
03-22-2020,Wheeler,Nebraska,US,0,0,0,0
03-22-2020,York,Nebraska,US,0,0,0,0
03-22-2020,Churchill,Nevada,US,0,0,0,0
03-22-2020,Douglas,Nevada,US,0,0,0,0
03-22-2020,Elko,Nevada,US,0,0,0,0
03-22-2020,Esmeralda,Nevada,US,0,0,0,0
03-22-2020,Eureka,Nevada,US,0,0,0,0
03-22-2020,Humboldt,Nevada,US,0,0,0,0
03-22-2020,Lander,Nevada,US,0,0,0,0
03-22-2020,Lincoln,Nevada,US,0,0,0,0
03-22-2020,Lyon,Nevada,US,0,0,0,0
03-22-2020,Mineral,Nevada,US,0,0,0,0
03-22-2020,Nye,Nevada,US,0,0,0,0
03-22-2020,Pershing,Nevada,US,0,0,0,0
03-22-2020,Storey,Nevada,US,0,0,0,0
03-22-2020,White Pine,Nevada,US,0,0,0,0
03-22-2020,Belknap,New Hampshire,US,0,0,0,0
